Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
X-Men - Zeit der Apokalypse: Band 1;Regal 4;Ebene 7;Scott Lobdell, Mark Waid, Fabian Nicieza, Howard Mackie & Warren Ellis;X-Men: Apokalypse;380;1995
X-Men - Zeit der Apokalypse: Band 2;Regal 4;Ebene 7;Fabian Nicieza, Howard Mackie, John Francis Moore, Jeph Loeb & Larry Hama;X-Men: Apokalypse;340;1995
X-Men - Zeit der Apokalypse: Band 3;Regal 4;Ebene 7;Terry Kavanagh, Scott Lobdell, Jeph Loeb, John Francis Moore, Fabian Nicieza & Mark Waid;X-Men: Apokalypse;316;1995
Spider-Man - Die Klon-Saga: Band 3;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie & Todd DeZago;Spider-Man: Die Klon-Saga;244;1995
Spider-Man - Die Klon-Saga: Band 4;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;316;1995
Spider-Man - Die Klon-Saga: Band 5;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;284;1995
Spider-Man - Die Klon-Saga: Band 6;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;292;1996
Spider-Man - Die Klon-Saga: Band 7;Regal 4;Ebene 7;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;324;1996
Deadpool - Band 3: Keiner kann's besser;Regal 4;Ebene 7;Joe Kelly;Deadpool Killer-Kollektion;148;1997
Deadpool - Band 4: Totgesagte leben länger;Regal 4;Ebene 7;Joe Kelly;Deadpool Killer-Kollektion;156;1997-1998
Deadpool - Band 5: Der Kuss des Todes;Regal 4;Ebene 7;Joe Kelly & James Felder;Deadpool Killer-Kollektion;156;1998
Deadpool - Band 6: Karma Drama;Regal 4;Ebene 7;Joe Kelly & James Felder;Deadpool Killer-Kollektion;180;1998
Marvel Knights: Black Panther;Regal 4;Ebene 7;Christopher Priest & Joe Quesada;Marvel Sonderband;136;1998-1999
Deadpool - Band 7: Buenos Días, Messias;Regal 4;Ebene 7;Joe Kelly & James Felder;Deadpool Killer-Kollektion;156;1998-1999
Deadpool - Band 8: Bis dass der Tod uns scheidet;Regal 4;Ebene 7;Joe Kelly;Deadpool Killer-Kollektion;144;1999
Deadpool - Band 9: Gott für einen Tag!;Regal 4;Ebene 7;Christopher Priest;Deadpool Killer-Kollektion;148;1999-2000
Deadpool - Band 10: Krawall im All!;Regal 4;Ebene 7;Glenn Herdling & Christopher Priest;Deadpool Killer-Kollektion;160;2000
Deadpool - Band 11: Held für Kopfgeld;Regal 4;Ebene 7;Jimmy Palmiotti & Buddy Scalera;Deadpool Killer-Kollektion;144;2000-2001
Deadpool - Band 12: Solo für zwei Killer;Regal 4;Ebene 7;Jimmy Palmiotti & Buddy Scalera;Deadpool Killer-Kollektion;128;2000-2001
Deadpool - Band 13: Pieta mit Pistolen;Regal 4;Ebene 7;Buddy Scalera & Frank Tieri;Deadpool Killer-Kollektion;192;2001-2002
Deadpool - Band 14: Ruhe in Unfrieden;Regal 4;Ebene 7;Gail Simone;Deadpool Killer-Kollektion;124;2002
Deadpool - Band 15: Wer ist Agent X? Und wo steckt Deadpool?;Regal 4;Ebene 7;Gail Simone;Deadpool Killer-Kollektion;156;2002-2003
Deadpool - Band 16: Mit Karacho ins Chaos;Regal 4;Ebene 7;Evan Dorkin, Vuddy Scalera, Gail Simone & Daniel Way;Deadpool Killer-Kollektion;208;2003
Runaways: Ausreisser;Regal 4;Ebene 7;Brian K. Vaughan;Marvel Megaband;434;2003-2004
Marvel 1602;Regal 4;Ebene 7;Neil Gaiman;Marvel Sonderband;248;2003-2004
Die Marvel Kinofilme: Von Iron Man bis Avengers Infinity War;Regal 4;Ebene 7;Adam Bray;Marvel Studios;128;2018
Lexikon der Superhelden;Regal 4;Ebene 7;Adam Bray;Marvel Studios;176;2018-2019
Band 1: Hinter der Maske;Regal 5;Ebene 7;Paul Jenkins;Peter Parker: Spider-Man;188;2000-2001
Band 2: Fatale Fusionen;Regal 5;Ebene 7;Paul Jenkins;Peter Parker: Spider-Man;260;2001
Band 3: Eiskalte Fusion;Regal 5;Ebene 7;Paul Jenkins;Peter Parker: Spider-Man;172;2001-2002
Band 4: Donnerndes Kobold-Gelächter;Regal 5;Ebene 7;Paul Jenkins;Peter Parker: Spider-Man;188;2002-2003
Wolverine: Xisle;Regal 5;Ebene 7;Bruce Jones;100% Marvel;120;2003
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Sagen des klassischen Altertums;Regal 5;Ebene 7;Gustav Schwab;Franks Sagen und Legenden;672;1970
Nordische Mythen und Sagen;Regal 5;Ebene 7;Neil Gaiman;Franks Sagen und Legenden;256;2016/2019
Nordische Götter- und Heldensagen;Regal 5;Ebene 7;Edmund Mudrak;Franks Sagen und Legenden;328;1954/2019
Wunder und Rätsel der Heiligen Schrift;Regal 5;Ebene 7;Ingrid Zeltwanger im Auftrag von Reader's Digest;Franks Sagen und Legenden;384;1990
Das Grosse Hausbuch der Sagen;Regal 5;Ebene 7;Sabine Kieslich;Franks Sagen und Legenden;288;1996
Mythologie - Götter, Helden und Mythen;Regal 5;Ebene 7;Verschiedene;Franks Sagen und Legenden;320;2004
Mystica - Die großen Rätsel der Menschheit;Regal 5;Ebene 7;Peter Fiebag, Elmar Gruber & Rainer Holbe;Mysterien der Welt;1082;2004
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Spass Wars;Regal 6;Ebene 7;Matthias Kringe;Star Wars;66;2012/2013
Star Wars: Das Buch der Jedi;Regal 6;Ebene 7;Danielle Wallace;Star Wars;160;2011/2012
Star Wars: Das Buch der Sith;Regal 6;Ebene 7;Danielle Wallace;Star Wars;160;2012
Star Wars: Das Buch der Kopfgeldjäger;Regal 6;Ebene 7;Danielle Wallace, Ryder Windham und Jason Fry;Star Wars;160;2013
Star Wars: Geschichten der Sith;Regal 6;Ebene 7;Simon Beecroft;Star Wars;192;2007/2011
Star Wars The Clone Wars - Abenteuer der Jedi;Regal 6;Ebene 7;Simon Beecroft;Star Wars;192;2013
Star Wars: Spüre die Macht und andere spannende Geschichten;Regal 6;Ebene 7;Lisa Stock;Star Wars;176;2013
Star Wars The Clone Wars - Helden der Galaxis;Regal 6;Ebene 7;Clare Hibbert;Star Wars;192;2014
Star Wars: Lexikon der Helden, Schurken und Droiden;Regal 6;Ebene 7;Simon Beecroft;Star Wars;208;2011/2012
